window,model,epoch,train_loss,validation_mean_daily_macro_auc,validation_mean_daily_extreme_auc,validation_log_loss
60,CNN,2,0.8563135685713681,0.5804564828067175,0.5474070120946063,1.0220027417680848
60,CNN,3,0.8265924923260568,0.581124865606309,0.5506722855793635,1.0462462914764763
60,CNN,4,0.7982174484668971,0.5721254408834102,0.5415759383193719,1.1155924582585701
60,CNN,5,0.7723537089494407,0.5698013253983765,0.5393271248939439,1.1430630321279196
60,CNN,6,0.749185806015785,0.5619077078181834,0.530119492281111,1.2094589454580769
60,GRU,1,0.9075211588881248,0.6205966792214902,0.5987168597925578,0.9283043090575739
60,GRU,2,0.8658809948181136,0.5952672536063632,0.5626691523146479,0.9909699189583315
60,GRU,3,0.8305197078388038,0.5904776670155594,0.5584457536030711,1.0507759222077406
60,GRU,4,0.7869109736895413,0.5749919505168953,0.5400316919870416,1.1958951211761757
60,GRU,5,0.7448612975301946,0.5724282205286397,0.5402115752828944,1.2583380593882956
60,GRU,6,0.7066865599952346,0.5702809933116875,0.5389992714897492,1.3204727969002996
60,Transformer,1,0.9009671322154145,0.6014720555128574,0.5709644017997088,0.9544275974034875
60,Transformer,2,0.8457399801415957,0.5979857850386374,0.5680553115877002,1.0050364147600503
60,Transformer,3,0.787614998819087,0.5815861254451642,0.5481747107341866,1.1164751643462396
60,Transformer,4,0.7294552898834197,0.5776759029040445,0.545524822132492,1.196331851226862
60,Transformer,5,0.6778142278889473,0.5703052934608711,0.5395810671034299,1.2760737046001591
60,Transformer,6,0.6337663825218798,0.5626442582442673,0.5326979342854407,1.404031613565336
60,CNN+GRU,1,0.9071233126724448,0.6249833937677204,0.6068123648491394,0.9202342526955605
60,CNN+GRU,2,0.8635851038397796,0.6085446539953209,0.5826140516718737,0.9683497774254215
60,CNN+GRU,3,0.8259644399093481,0.5885572901054347,0.5568873339598686,1.055926109719094
60,CNN+GRU,4,0.7784545353821111,0.5830276630688038,0.5527881106579496,1.1236156134888655
60,CNN+GRU,5,0.7315285732465149,0.5742779284015244,0.5460210213050964,1.2331880980905972
60,CNN+GRU,6,0.6891433180898408,0.5648278647011654,0.5359091434409143,1.3715807116723877
60,CNN+Transformer,1,0.8989616802115017,0.6139304995685984,0.5932796958024735,0.9396792449322663
60,CNN+Transformer,2,0.8410658925093921,0.5779629919949384,0.5434946673224488,1.0603214710120332
60,CNN+Transformer,3,0.7749227143254139,0.5647802756672913,0.5308187092858889,1.18976232131524
60,CNN+Transformer,4,0.7134925654064286,0.5646304314924512,0.5333178300842207,1.306496203349345
60,CNN+Transformer,5,0.6630217809458587,0.5648783767912019,0.5393553629583596,1.3542994662496552
60,CNN+Transformer,6,0.6194065282420402,0.5549075216087656,0.5293021051520169,1.5015194741743987
